item_id,observed_at,stac_cloud_cover_pct,valid_pixel_count,masked_pixel_count,valid_pixel_pct,ndvi_min,ndvi_max,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p25,ndvi_p75,ndvi_p90
S2A_MSIL2A_20240408T161831_R040_T16TGN_20240410T211148,2024-04-08T16:18:31.024000+00:00,0.000375,691263,45,99.9935,-1.0,1.0,0.3847833111455496,0.40360239148139954,0.2504732719131757,0.08529412001371384,0.258601114153862,0.5495541989803314,0.6718550205230713
S2A_MSIL2A_20240531T162841_R083_T17TLH_20240601T010652,2024-05-31T16:28:41.024000+00:00,0.035593,1366568,923,99.9325,-0.8640776872634888,1.0,0.6081721726320134,0.6840277910232544,0.2679388672137528,0.1704917997121811,0.43033114075660706,0.8359853029251099,0.8922338366508484
S2B_MSIL2A_20240612T161829_R040_T17TLH_20240612T221210,2024-06-12T16:18:29.024000+00:00,0.001377,1367459,32,99.9977,-0.9473684430122375,1.0,0.5916904813173054,0.666832447052002,0.2708784795019458,0.15342085063457492,0.4140408933162689,0.8192264437675476,0.8811468005180358
S2A_MSIL2A_20240727T161831_R040_T16TGN_20240727T233652,2024-07-27T16:18:31.024000+00:00,0.102048,691300,8,99.9988,-0.6218905448913574,0.9402422904968262,0.5968355530093563,0.6810370683670044,0.2700022523524697,0.1496949315071106,0.41813260316848755,0.8261575698852539,0.8758347630500793
S2B_MSIL2A_20240831T161829_R040_T16TGN_20240831T202059,2024-08-31T16:18:29.024000+00:00,0.075326,691300,8,99.9988,-0.9145299196243286,1.0,0.6059256452365924,0.6996398568153381,0.2844006113389777,0.14966735243797308,0.4276488646864891,0.841565728187561,0.8883720636367798
S2A_MSIL2A_20241005T162141_R040_T16TGN_20241005T220355,2024-10-05T16:21:41.024000+00:00,0.000469,691300,8,99.9988,-1.0,0.9896818399429321,0.5797006548026676,0.6647628843784332,0.2814095845007886,0.13892665654420858,0.3942127078771591,0.8110108822584152,0.8712675094604492
