acquisition_key,primary_item_id,contributing_item_ids,tile_ids,granule_count,observed_at,stac_cloud_cover_pct,aoi_coverage_pct,valid_coverage_pct,missing_data_pct,valid_pixel_count,masked_pixel_count,valid_pixel_pct,ndvi_min,ndvi_max,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p25,ndvi_p75,ndvi_p90
sentinel-2-l2a|sentinel-2b|R040|2024-04-13T16:18:00+00:00,S2B_MSIL2A_20240413T161829_R040_T17TLH_20240413T202718,S2B_MSIL2A_20240413T161829_R040_T16TGN_20240413T204122 S2B_MSIL2A_20240413T161829_R040_T17TLH_20240413T202718,T16TGN T17TLH,2,2024-04-13T16:18:29.024000+00:00,0.02944343941624327,100.0,99.9474,0.0,1366772,719,99.9474,-1.0,1.0,0.4442951926235089,0.46020761132240295,0.2340642553401526,0.1272257372736931,0.3128964826464653,0.6093933880329132,0.7274938404560091
sentinel-2-l2a|sentinel-2a|R083|2024-05-31T16:28:00+00:00,S2A_MSIL2A_20240531T162841_R083_T17TLH_20240601T010652,S2A_MSIL2A_20240531T162841_R083_T16TGN_20240601T010125 S2A_MSIL2A_20240531T162841_R083_T17TLH_20240601T010652,T16TGN T17TLH,2,2024-05-31T16:28:41.024000+00:00,3.2751714488705175,100.0,99.9461,0.0403,1366754,737,99.9461,-0.8322254419326782,1.0,0.6089715971838289,0.6820448935031891,0.26376282022350467,0.1783896714448929,0.4385792538523674,0.8309271484613419,0.8896913945674896
sentinel-2-l2a|sentinel-2b|R040|2024-06-12T16:18:00+00:00,S2B_MSIL2A_20240612T161829_R040_T17TLH_20240612T221210,S2B_MSIL2A_20240612T161829_R040_T16TGN_20240612T221355 S2B_MSIL2A_20240612T161829_R040_T17TLH_20240612T221210,T16TGN T17TLH,2,2024-06-12T16:18:29.024000+00:00,0.28132147651226785,100.0,99.9977,0.0,1367459,32,99.9977,-1.0,0.9855125546455383,0.5932584823199925,0.6673987507820129,0.27212572039798905,0.16098802387714392,0.4238852709531784,0.817070722579956,0.881595504283905
sentinel-2-l2a|sentinel-2a|R040|2024-07-27T16:18:00+00:00,S2A_MSIL2A_20240727T161831_R040_T17TLH_20240727T233652,S2A_MSIL2A_20240727T161831_R040_T16TGN_20240727T233652 S2A_MSIL2A_20240727T161831_R040_T17TLH_20240727T233652,T16TGN T17TLH,2,2024-07-27T16:18:31.024000+00:00,0.31519542941822604,100.0,99.9994,0.0,1367483,8,99.9994,-0.5773692727088928,0.9374855160713196,0.5995226143677268,0.6729961633682251,0.2557693286187198,0.17781487405300142,0.4331107884645462,0.8151569068431854,0.8701541423797607
sentinel-2-l2a|sentinel-2b|R083|2024-08-24T16:28:00+00:00,S2B_MSIL2A_20240824T162829_R083_T17TLH_20240824T204911,S2B_MSIL2A_20240824T162829_R083_T16TGN_20240824T204911 S2B_MSIL2A_20240824T162829_R083_T17TLH_20240824T204911,T16TGN T17TLH,2,2024-08-24T16:28:29.024000+00:00,3.1880225464728813,100.0,98.7973,0.0,1351044,16447,98.7973,-0.64812833070755,1.0,0.5873226640065902,0.6545138359069824,0.23311723217994473,0.20016397684812545,0.4347127750515938,0.7843521982431412,0.832848972082138
sentinel-2-l2a|sentinel-2a|R040|2024-10-05T16:21:00+00:00,S2A_MSIL2A_20241005T162141_R040_T17TLH_20241005T220355,S2A_MSIL2A_20241005T162141_R040_T16TGN_20241005T220355 S2A_MSIL2A_20241005T162141_R040_T17TLH_20241005T220355,T16TGN T17TLH,2,2024-10-05T16:21:41.024000+00:00,0.029514499260440308,100.0,99.9994,0.0,1367483,8,99.9994,-1.0,0.972359299659729,0.5815307117447763,0.6561118960380554,0.26238092140379626,0.16251075267791748,0.40708306431770325,0.7983963489532471,0.8591374754905701
